GeneID	KO_ID
Sco09g03950.1	 sodium bicarbonate
Sco10g08830.1	peptide-aspartate beta-dioxygenase activity
Sco07g01060.1	Collagen beta(1-O)galactosyltransferase 1
Sco12g06430.1	1-phosphatidylinositol-3-kinase regulator activity
Sco01g07720.1	pre-mRNA 5'-splice site binding
Sco11g02900.1	FERM domain-containing protein
Sco03g06390.1	sphingomyelin phosphodiesterase activator activity
Sco12g09870.1	Coiled-coil domain-containing protein 25
Sco18g04910.1	DDE superfamily endonuclease
Sco16g08930.1	protein kinase B binding
Sco02g04580.1	C2H2-type zinc finger
Sco06g11180.1	Mediator complex subunit 13 N-terminal
Sco06g12950.1	Methyltransferase domain
Sco17g14590.1	Cleavage and polyadenylation
Sco12g10390.1	ATP synthase
Sco12g10390.1	 H transporting
Sco12g10390.1	 mitochondrial F1 complex
Sco12g10390.1	 delta subunit
Sco13g13740.1	CCR4 carbon catabolite repression 4-like (S. cerevisiae)
Sco19g09430.1	tube development
Sco17g13600.1	cytochrome P450
Sco19g10400.1	Chromosome 11 open reading frame 65
Sco14g09600.1	SPRY domain
Sco09g00240.1	oligopeptide transmembrane transporter activity
Sco04g02320.1	Mannose-6-phosphate receptor
Sco14g10570.1	3'-phosphoadenosine 5'-phosphosulfate transmembrane transporter activity
Sco08g07360.1	Heat shock 70 kDa protein 12A-like
Sco14g13940.1	response to pheromone
Sco12g03760.1	R3H-associated N-terminal domain
Sco09g02860.1	-
Sco19g02940.1	RNA processing
Sco08g01720.1	Domain of unknown function (DUF4796)
Sco18g00330.1	Calcium-binding protein
Sco05g08940.1	attachment of GPI anchor to protein
Sco05g10760.1	glucokinase activity
Sco18g04670.1	Belongs to the peptidase C2 family
Sco14g15870.1	DNA binding
Sco12g11520.1	von Willebrand factor (vWF) type A domain
Sco17g01240.1	Coiled-coil domain-containing protein
Sco02g06980.1	SUZ domain
Sco11g03790.1	negative regulation of heat generation
Sco03g07620.1	Guanine Nucleotide Exchange Factor
Sco16g10390.1	dendritic cell proliferation
Sco06g07610.1	nucleic acid-templated transcription
Sco05g03550.1	negative regulation of TOR signaling
Sco06g06930.1	nucleic acid binding
Sco17g01590.1	-
Sco05g07140.1	histamine oxidase activity
Sco17g20840.1	Low-density lipoprotein receptor domain class A
Sco19g04090.1	Malonyl-CoA decarboxylase N-terminal domain
Sco15g10830.1	G-protein coupled receptor activity
Sco06g12300.1	BolA-like protein
Sco02g07620.1	positive regulation of cellular response to gamma radiation
Sco07g01000.1	Domain present in VPS9
Sco13g12750.1	FAM47 family
Sco01g07350.1	spermatogenesis
Sco01g07350.1	 exchange of chromosomal proteins
Sco10g03340.1	scavenger receptor activity
Sco05g07090.1	peptidyl-S-diacylglycerol-L-cysteine biosynthetic process from peptidyl-cysteine
Sco10g03550.1	-
Sco19g01360.1	regulation of Schwann cell chemotaxis
Sco17g14230.1	structural constituent of ribosome
Sco08g04510.1	-
Sco17g08160.1	TOR signaling
Sco13g07190.1	extracellular matrix
Sco17g13320.1	Dynein regulatory complex subunit 3
Sco12g11290.1	Clostridium epsilon toxin ETX/Bacillus mosquitocidal toxin MTX2
Sco01g02970.1	Phosphatidylethanolamine N-methyltransferase
Sco01g09290.1	milk fat globule-EGF factor 8 protein
Sco07g01470.1	It is involved in the biological process described with ribosome biogenesis
Sco07g00750.1	L-alpha-amino acid transmembrane transport
Sco19g05020.1	DDE superfamily endonuclease
Sco05g02500.1	hAT family C-terminal dimerisation region
Sco16g08290.1	cat eye syndrome
Sco14g08910.1	-
Sco07g03880.1	ubiquitin-dependent endocytosis
Sco12g08260.1	protein phosphatase 1 regulatory subunit 42
Sco19g00440.1	zinc ion binding
Sco15g12110.1	Out at first protein homolog
Sco05g00530.1	double-strand break repair via break-induced replication
Sco11g05760.1	Integrator complex subunit 3
Sco14g03690.1	Complex I intermediate-associated protein 30 (CIA30)
Sco03g01730.1	protein phosphatase 1 regulatory
Sco01g01120.1	protein C4orf45 homolog
Sco06g06530.1	positive regulation of DNA-directed DNA polymerase activity
Sco01g04000.1	cat eye syndrome chromosome region
Sco01g04000.1	 candidate
Sco07g00760.1	sulfhydryl oxidase
Sco06g05140.1	transforming growth factor
Sco11g03520.1	ATP-dependent helicase activity
Sco19g05010.1	ionotropic glutamate receptor activity
Sco09g02480.1	positive regulation of glutamate neurotransmitter secretion in response to membrane depolarization
Sco08g00180.1	RNA splicing
Sco08g00180.1	 via transesterification reactions with bulged adenosine as nucleophile
Sco16g12960.1	tRNA (guanine) methyltransferase activity
Sco17g05400.1	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
Sco14g08350.1	Eukaryotic translation initiation factor 5
Sco02g04310.1	NAD(P)-binding Rossmann-like domain
Sco19g10380.1	serine-type endopeptidase inhibitor activity
Sco19g14250.1	acidic dipeptidase 2
Sco04g10510.1	axoneme assembly
Sco16g12650.1	cell adhesion
Sco06g11880.1	DNA-dependent ATPase and 5'-3' DNA helicase required for the maintenance of both mitochondrial and nuclear genome stability. Efficiently unwinds G-quadruplex (G4) DNA structures and forked RNA-DNA hybrids. Resolves G4 structures
Sco06g11880.1	 preventing replication pausing and double-strand breaks (DSBs) at G4 motifs. Involved in the maintenance of telomeric DNA. Inhibits telomere elongation
Sco06g11880.1	 de novo telomere formation and telomere addition to DSBs via catalytic inhibition of telomerase. Reduces the processivity of telomerase by displacing active telomerase from DNA ends. Releases telomerase by unwinding the short telomerase RNA telomeric DNA hybrid that is the intermediate in the telomerase reaction. Possesses an intrinsic strand annealing activity
Sco14g10130.1	zinc ion binding
Sco19g04190.1	extracellular ligand-gated ion channel activity
Sco12g07020.1	Zinc ion binding
Sco07g01700.1	2OG-Fe(II) oxygenase superfamily
Sco15g04980.1	-
Sco11g11950.1	FKBP-type peptidyl-prolyl cis-trans isomerase
Sco16g01840.1	BTB/POZ domain
Sco03g07480.1	Allows the formation of correctly charged Gln-tRNA(Gln) through the transamidation of misacylated Glu-tRNA(Gln) in the mitochondria. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-Glu- tRNA(Gln)
Sco19g12590.1	Zinc finger protein 593
Sco15g05730.1	Cytochrome P450
Sco15g05730.1	 family
Sco16g12830.1	secondary active sulfate transmembrane transporter activity
Sco14g08290.1	-
Sco19g02070.1	-
Sco10g01880.1	Domain of unknown function (DUF4562)
Sco17g03310.1	spliceosomal snRNP assembly
Sco07g09440.1	-
Sco02g09740.1	Neurocan
Sco10g06910.1	-
Sco15g02570.1	activity. It is involved in the biological process described with carbohydrate metabolic process
Sco17g07890.1	Wnt-activated signaling pathway involved in forebrain neuron fate commitment
Sco16g00480.1	metal ion binding
Sco12g10270.1	Sphingomyelin phosphodiesterase
Sco12g10270.1	 acid-like 3B
Sco17g06580.1	Eukaryotic translation initiation factor 4E binding protein (EIF4EBP)
Sco17g03920.1	CCR4-NOT transcription complex subunit 6-like
Sco03g00050.1	-
Sco12g14550.1	Carboxypeptidase
Sco01g10880.1	DNA replication initiation
Sco06g11670.1	N-terminal peptidyl-methionine acetylation
Sco13g14980.1	receptor activity. It is involved in the biological process described with G-protein coupled receptor signaling pathway
Sco14g12380.1	serum response element binding
Sco11g06420.1	-
Sco09g06090.1	Structural component of the gap junctions
Sco08g02780.1	sodium-dependent L-ascorbate transmembrane transporter activity
Sco17g19970.1	Androgen-induced gene 1
Sco18g08610.1	Glycosyltransferase sugar-binding region containing DXD motif
Sco11g03160.1	Belongs to the G-protein coupled receptor 1 family
Sco15g06440.1	ATPase activity
Sco15g06440.1	 coupled to transmembrane movement of substances
Sco13g04920.1	Alpha beta hydrolase fold
Sco01g05070.1	Speckle-type POZ protein-like protein
Sco18g04940.1	-
Sco03g05640.1	positive regulation of protein kinase C activity
Sco14g09990.1	protein serine/threonine kinase activity
Sco13g01700.1	C-terminal of Roc
Sco13g01700.1	 COR
Sco13g01700.1	 domain
Sco07g05340.1	C-terminal to LisH motif.
Sco10g01050.1	intraciliary transport
Sco17g12160.1	calmodulin-dependent protein phosphatase activity
Sco13g03350.1	Protein serine threonine phosphatase activity. It is involved in the biological process described with protein dephosphorylation
Sco16g07880.1	mRNA-containing ribonucleoprotein complex export from nucleus
Sco05g08120.1	Potassium channel activity. It is involved in the biological process described with potassium ion transmembrane transport
Sco06g03020.1	binding. It is involved in the biological process described with regulation of transcription
Sco06g03020.1	 DNA-templated
Sco19g09730.1	acyl-Coenzyme A dehydrogenase family
Sco19g09730.1	 member 8
Sco03g04920.1	Protein-glutamine gamma-glutamyltransferase K
Sco19g04180.1	mRNA transport
Sco19g13200.1	-
Sco12g10360.1	Rapamycin-insensitive companion of mTOR
Sco12g10360.1	 N-term
Sco14g05120.1	negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway
Sco16g04260.1	Thrombospondin type 1 repeats
Sco17g15770.1	peptidyl-tRNA hydrolase
Sco05g05260.1	inositol-polyphosphate 5-phosphatase activity
Sco15g08350.1	Amyloid A4 N-terminal heparin-binding
Sco16g14170.1	-
Sco13g06280.1	Ankyrin repeat
Sco17g20950.1	7 transmembrane receptor (rhodopsin family)
Sco19g11010.1	alkB homolog 3
Sco12g15260.1	Hbs1-like
Sco05g05750.1	Ankyrin repeat
Sco02g01640.1	oxoglutarate:malate antiporter activity
Sco15g02480.1	signal transducer activity. It is involved in the biological process described with regulation of transcription
Sco15g02480.1	 DNA-templated
Sco02g04420.1	G-protein coupled receptor activity
Sco04g00520.1	TRAM
Sco04g00520.1	 LAG1 and CLN8 homology domains.
Sco13g02060.1	nuclear membrane organization
Sco13g07750.1	It is involved in the biological process described with signal transduction
Sco17g18850.1	tRNA splicing
Sco17g18850.1	 via endonucleolytic cleavage and ligation
Sco01g07130.1	nervous system development
Sco02g03160.1	creatine:sodium symporter activity
Sco17g08530.1	Diacylglycerol kinase
Sco17g08530.1	 epsilon
Sco19g09530.1	cysteine-type endopeptidase activity
Sco15g00530.1	cellular response to increased oxygen levels
Sco01g07360.1	ER membrane protein complex subunit 10
Sco16g10640.1	May function as a transcriptional corepressor through its interaction with COPS2
Sco16g10640.1	 negatively regulating the expression of genes involved in neuronal differentiation
Sco16g13710.1	Kelch-like protein 36
Sco02g09810.1	calcium ion-regulated exocytosis of neurotransmitter
Sco14g16740.1	mannosyl-oligosaccharide 1
Sco14g16740.1	3-1
Sco14g16740.1	6-alpha-mannosidase activity
Sco06g01450.1	2-oxoglutarate and iron-dependent oxygenase
Sco03g04700.1	(S)-coclaurine N-methyltransferase-like
Sco03g09100.1	iron assimilation by reduction and transport
Sco06g01360.1	Cupin domain
Sco19g02560.1	Protein of unknown function (DUF1759)
Sco03g07080.1	-
Sco05g05110.1	G-protein coupled receptor kinase activity
Sco14g09810.1	Solute carrier family 19
Sco14g09810.1	 member 3a
Sco09g01360.1	cell redox homeostasis
Sco12g06090.1	transcription-coupled nucleotide-excision repair
Sco16g04340.1	Belongs to the WD repeat SEC13 family
Sco01g07240.1	SAM / Pointed domain
Sco03g12930.1	Hydroxysteroid dehydrogenase-like protein 2-like
Sco17g08370.1	extracellular ligand-gated ion channel activity
Sco19g01210.1	Occurs in almost all aerobically respiring organisms and serves to protect cells from the toxic effects of hydrogen peroxide
Sco19g03760.1	ferredoxin 1
Sco15g00940.1	dendrite self-avoidance
Sco13g14550.1	-
Sco17g13740.1	Ras family
Sco11g11110.1	-
Sco14g12740.1	ADP-ribosylarginine hydrolase activity
Sco16g05940.1	Belongs to the short-chain dehydrogenases reductases (SDR) family
Sco10g01020.1	Neutral ceramidase
Sco03g08550.1	-
Sco18g08010.1	Receptor-type tyrosine-protein phosphatase
Sco17g07730.1	Mitotic spindle assembly checkpoint protein MAD1
Sco01g01460.1	Opioid growth factor receptor
Sco01g08860.1	snRNA processing
Sco07g02580.1	converts alpha-aldose to the beta-anomer
Sco08g04880.1	Patatin-like phospholipase
Sco11g10780.1	-
Sco14g03320.1	BRO1-like domain
Sco06g12600.1	acetoacetyl-CoA synthetase
Sco11g04580.1	regulation of nucleic acid-templated transcription
Sco18g03230.1	nucleic acid binding
Sco06g00260.1	Jerky protein homolog-like
Sco14g00510.1	C-C chemokine receptor activity
Sco01g00260.1	ubiquitin-protein transferase activity
Sco01g11030.1	leukotriene D4 biosynthetic process
Sco02g05870.1	Catalyzes the oxidative decarboxylation of 6- phosphogluconate to ribulose 5-phosphate and CO(2)
Sco02g05870.1	 with concomitant reduction of NADP to NADPH
Sco05g11780.1	Sulfotransferase
Sco03g07070.1	metalloexopeptidase activity. It is involved in the biological process described with proteolysis
Sco04g03680.1	pyridoxal phosphatase activity
Sco03g02180.1	Short transient receptor potential channel 5
Sco07g00930.1	Phytanoyl-CoA dioxygenase (PhyH)
Sco14g04470.1	cytochrome P450
Sco10g01940.1	Belongs to the Ca(2 ) cation antiporter (CaCA) (TC 2.A.19) family
Sco06g01210.1	DDE superfamily endonuclease
Sco17g00700.1	chromatin DNA binding
Sco03g12350.1	intra-S DNA damage checkpoint
Sco19g10610.1	-
Sco17g10700.1	Galactosyltransferase activity. It is involved in the biological process described with protein glycosylation
Sco13g04520.1	Leucine Rich repeat
Sco13g06480.1	CH-like domain in sperm protein
Sco14g08480.1	positive regulation of cytokine secretion
Sco03g04340.1	negative regulation of lipoprotein oxidation
Sco12g02740.1	ubiquitin-protein transferase activity
Sco06g05060.1	phosphatidylinositol 5-phosphate metabolic process
Sco16g04310.1	Galactosyltransferase
Sco13g01060.1	actin filament binding
Sco06g08190.1	-
Sco17g18770.1	Solute carrier organic anion transporter family member
Sco06g00320.1	6-pyruvoyltetrahydropterin synthase activity
Sco17g20590.1	Tetratricopeptide repeat and ankyrin repeat containing 1
Sco17g17480.1	protein serine/threonine kinase activity
Sco06g04940.1	Calcineurin-like phosphoesterase
Sco04g00320.1	alpha-(1->3)-fucosyltransferase activity
Sco16g02550.1	-
Sco04g06590.1	Helix-turn-helix of DDE superfamily endonuclease
Sco11g03770.1	elongation factor Tu
Sco15g01600.1	negative chemotaxis
Sco17g12030.1	spliceosomal complex assembly
Sco09g06160.1	Tetratricopeptide repeats
Sco16g12720.1	acetylglucosaminyltransferase activity
Sco09g05260.1	neurotransmitter:sodium symporter activity
Sco06g11630.1	generation of catalytic spliceosome for first transesterification step
Sco13g02130.1	positive regulation of neurotrophin TRK receptor signaling pathway
Sco08g05200.1	regulation of protein catabolic process
Sco12g08680.1	acetyl-CoA biosynthetic process from acetate
Sco03g05280.1	nucleotidyltransferase activity
Sco17g16800.1	Chromatin organization modifier domain
Sco03g03370.1	-
Sco11g03020.1	negative regulation of transcription by RNA polymerase II
Sco11g11350.1	-
Sco02g00650.1	G-protein coupled receptor activity. It is involved in the biological process described with G-protein coupled receptor signaling pathway
Sco14g14730.1	ribosomal protein L49
Sco02g01780.1	Phytanoyl-CoA dioxygenase (PhyH)
Sco14g03500.1	Calcium-binding protein
Sco19g02530.1	Acetyl-CoA acetyltransferase
Sco07g09690.1	LIM homeobox
Sco03g04000.1	DNA binding
Sco03g02160.1	dynactin binding
Sco11g03760.1	cell adhesion
Sco01g04510.1	NLS-bearing protein import into nucleus
Sco12g11300.1	Clostridium epsilon toxin ETX/Bacillus mosquitocidal toxin MTX2
Sco02g04600.1	nucleic acid-templated transcription
Sco06g02090.1	Vacuole membrane protein 1
Sco12g10930.1	Catalyzes the phosphorylation of pyrimidine nucleoside monophosphates at the expense of ATP. Plays an important role in de novo pyrimidine nucleotide biosynthesis. Has preference for UMP and CMP as phosphate acceptors
Sco05g05210.1	Sulfotransferase domain
Sco17g12920.1	Cytochrome oxidase c subunit VIb
Sco16g03140.1	Protein SSUH2 homolog
Sco02g05260.1	-
Sco10g06540.1	negative regulation of nuclear-transcribed mRNA catabolic process
Sco10g06540.1	 nonsense-mediated decay
Sco12g08130.1	SMG9 nonsense mediated mRNA decay factor
Sco19g12610.1	arginyltransferase activity
Sco12g12650.1	JUN kinase kinase kinase activity
Sco18g02550.1	Transposase (partial DDE domain)
Sco14g08760.1	O-acetyl-ADP-ribose deacetylase
Sco17g00840.1	calcium ion-regulated exocytosis of neurotransmitter
Sco16g04520.1	Cadherin-like and PC-esterase
Sco13g05290.1	subtilisin inhibitor
Sco07g06080.1	rRNA binding
Sco07g02960.1	carbohydrate binding
Sco17g20710.1	-
Sco07g05640.1	gamma-aminobutyric acid type B receptor subunit
Sco07g04560.1	RNA secondary structure unwinding
Sco12g03440.1	protein modification by small protein conjugation
Sco11g07450.1	Immunoglobulin
Sco12g11790.1	ATP binding. It is involved in the biological process described with protein phosphorylation
Sco14g03730.1	protein serine threonine kinase activity. It is involved in the biological process described with protein phosphorylation
Sco01g05020.1	Cytochrome P450
Sco01g05020.1	 family 17
Sco01g05020.1	 subfamily A
Sco01g05020.1	 polypeptide 2
Sco17g09590.1	calcium ion binding. It is involved in the biological process described with proteolysis
Sco07g02670.1	transcriptional
Sco10g06300.1	Mid-1-related chloride channel (MCLC)
Sco16g06460.1	Alpha mannosidase middle domain
Sco10g02140.1	Belongs to the inositol phosphokinase (IPK) family
Sco13g08020.1	Rho GTPase binding
Sco17g13690.1	guanosine-diphosphatase activity
Sco03g03920.1	phosphatase
Sco03g03920.1	 non-receptor type
Sco12g08710.1	transmembrane receptor protein tyrosine kinase activity
Sco11g00700.1	cuticle development
Sco02g01490.1	axoneme assembly
Sco06g00490.1	Endoplasmic reticulum resident protein
Sco19g16000.1	Coproporphyrinogen oxidase activity. It is involved in the biological process described with
Sco05g02140.1	establishment of synaptic vesicle localization
Sco08g04630.1	deoxyribonucleoside 5'-monophosphate N-glycosidase activity
Sco18g10290.1	Si ch1073-385f13.3
Sco13g12550.1	protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway
Sco01g07040.1	Belongs to the ubiquitin-conjugating enzyme family
Sco07g08330.1	positive regulation of calcium-dependent cell-cell adhesion
Sco18g07300.1	ATPase activity
Sco18g07300.1	 coupled to transmembrane movement of substances
Sco15g00810.1	carbohydrate derivative binding
Sco05g01830.1	cell division
Sco18g02350.1	-
Sco13g13730.1	protein dimerization activity
Sco16g03640.1	cellular response to calcium ion
Sco01g04940.1	BTB POZ domain-containing protein
Sco17g16610.1	7 transmembrane receptor (rhodopsin family)
Sco19g06880.1	to Hypothetical protein CBG24020
Sco18g09930.1	Transposase IS4
Sco17g13930.1	Molecular scaffold for Fe-S cluster assembly of mitochondrial iron-sulfur proteins
Sco17g09100.1	proteasome-mediated ubiquitin-dependent protein catabolic process
Sco18g07450.1	-
Sco08g07790.1	U2 snRNP-associated SURP
Sco17g19570.1	Riboflavin kinase
Sco12g07760.1	clathrin-dependent endocytosis
Sco07g07520.1	family with sequence similarity 78
Sco07g07520.1	 member
Sco15g06620.1	Catalyzes the reversible phosphorylytic cleavage of uridine and deoxyuridine to uracil and ribose- or deoxyribose-1- phosphate. The produced molecules are then utilized as carbon and energy sources or in the rescue of pyrimidine bases for nucleotide synthesis
Sco17g01660.1	RNA secondary structure unwinding
Sco19g13520.1	MAD2 mitotic arrest deficient-like 2 (yeast)
Sco16g12080.1	heavy chain
Sco10g03240.1	Sphingosine-1-phosphate lyase 1
Sco13g03950.1	amyloid beta (A4) precursor protein-binding
Sco13g03950.1	 family B
Sco13g03950.1	 member
Sco11g01350.1	guanine nucleotide-releasing factor
Sco19g03960.1	dCMP deaminase activity
Sco05g02370.1	5'-deoxyribose-5-phosphate lyase activity
Sco03g11650.1	suppressor of cytokine signaling
Sco09g03360.1	Phosphatidic acid phosphatase type 2B
Sco17g14730.1	Belongs to the multicopper oxidase family
Sco12g08200.1	Belongs to the V-ATPase proteolipid subunit family
Sco12g04050.1	XK-related protein
Sco14g11170.1	Sodium-dependent phosphate transport protein
Sco14g01070.1	WD repeat-containing protein 81
Sco16g03320.1	toll-like receptor 4 signaling pathway
Sco02g00430.1	metalloendopeptidase activity
Sco13g14190.1	Heat shock 70 kDa protein 12A-like
Sco05g06080.1	Domain of unknown function (DUF4500)
Sco19g01960.1	granulocyte colony-stimulating factor signaling pathway
Sco14g07850.1	Higher Eukarytoes and Prokaryotes Nucleotide-binding domain
Sco17g06190.1	Guanine nucleotide binding protein (G protein) alpha
Sco05g10300.1	protein serine threonine kinase activity. It is involved in the biological process described with
Sco05g01940.1	Belongs to the BCP1 family
Sco05g03420.1	Phospholysine phosphohistidine inorganic pyrophosphate phosphatase
Sco07g02350.1	transitional stage B cell differentiation
Sco11g07060.1	-
Sco14g07220.1	Tubulin tyrosine ligase-like family
Sco14g07220.1	 member 5
Sco02g01730.1	UreF
Sco12g11930.1	-
Sco15g07350.1	Homeodomain
Sco17g04220.1	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
Sco15g12970.1	Belongs to the complex I 49 kDa subunit family
Sco11g00290.1	extracellularly glutamate-gated chloride channel activity
Sco03g10130.1	Fibrinogen-related domains (FReDs)
Sco01g03200.1	Oxidoreductase family
Sco01g03200.1	 NAD-binding Rossmann fold
Sco15g02560.1	N-acetylneuraminate lyase activity
Sco14g17770.1	nuclease activity
Sco11g02140.1	regulation of proteasomal ubiquitin-dependent protein catabolic process
Sco13g00640.1	Serine threonine-protein phosphatase with EF-hands 2
Sco02g01910.1	Universal stress protein family
Sco19g13820.1	Transmembrane transporter activity. It is involved in the biological process described with transmembrane transport
Sco18g03450.1	Lytic polysaccharide mono-oxygenase
Sco18g03450.1	 cellulose-degrading
Sco06g00940.1	c4 zinc finger in nuclear hormone receptors
Sco12g08830.1	deoxyribonuclease I activity
Sco08g02010.1	Rho guanyl-nucleotide exchange factor activity
Sco15g12220.1	organic anion transmembrane transporter activity
Sco08g02610.1	glutathione-disulfide reductase activity
Sco14g11180.1	sodium-dependent phosphate transmembrane transporter activity
Sco10g08420.1	Belongs to the MIP aquaporin (TC 1.A.8) family
Sco18g09920.1	Cell adhesion molecule
Sco02g02580.1	regulation of vesicle fusion
Sco01g10640.1	Jerky protein homolog-like
Sco10g02870.1	Mandelate racemase / muconate lactonizing enzyme
Sco10g02870.1	 C-terminal domain
Sco04g07520.1	protein dimerization activity
Sco17g13110.1	Involved in the cellular defense against the biological effects of O6-methylguanine (O6-MeG) and O4-methylthymine (O4-MeT) in DNA. Repairs the methylated nucleobase in DNA by stoichiometrically transferring the methyl group to a cysteine residue in the enzyme. This is a suicide reaction the enzyme is irreversibly inactivated
Sco15g13010.1	cerebellar Purkinje cell differentiation
Sco18g02790.1	Beta-lactamase
Sco11g09380.1	positive regulation of smooth muscle cell-matrix adhesion
Sco14g12090.1	Tctex-1 family
Sco17g08000.1	LUC7 N_terminus
Sco03g09310.1	hAT family C-terminal dimerisation region
Sco17g03110.1	MICAL-like protein 2
Sco05g08680.1	sequence-specific DNA binding. It is involved in the biological process described with regulation of transcription
Sco05g08680.1	 DNA-templated
Sco05g01990.1	Ubiquitin domain-containing protein
Sco10g04190.1	-
Sco13g13720.1	Protein of unknown function (DUF 659)
Sco12g15230.1	annexin A6
Sco14g08920.1	acyl-coenzyme A thioesterase
Sco17g09760.1	ubiquitin-dependent ERAD pathway
Sco16g01390.1	G-protein coupled receptor activity. It is involved in the biological process described with G-protein coupled receptor signaling pathway
Sco11g03170.1	galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase activity
Sco14g07480.1	Belongs to the multicopper oxidase family
Sco17g01700.1	Belongs to the complex I LYR family
Sco04g06650.1	vasoactive intestinal polypeptide receptor activity
Sco10g05920.1	Bone morphogenetic protein 6
Sco14g09080.1	Glycine-rich domain-containing protein-like
Sco08g04370.1	phospholipase A2 activity (consuming 1
Sco08g04370.1	2-dipalmitoylphosphatidylcholine)
Sco09g05690.1	It is involved in the biological process described with transmembrane transport
Sco17g15990.1	voltage-gated potassium channel activity
Sco19g08510.1	scavenger receptor activity
Sco10g05500.1	Glycosyltransferase that generates the core 1 O-glycan Gal-beta1-3GalNAc-alpha1-Ser Thr (T antigen)
Sco10g05500.1	 which is a precursor for many extended O-glycans in glycoproteins
Sco06g03040.1	LIM homeobox
Sco18g09840.1	DNA- binding
Sco13g09810.1	mannosyl-inositol phosphorylceramide biosynthetic process
Sco01g03880.1	DDE superfamily endonuclease
Sco08g07050.1	ATP-dependent microtubule motor activity
Sco08g07050.1	 minus-end-directed
Sco14g06240.1	Belongs to the universal ribosomal protein uS5 family
Sco06g08130.1	ARP2/3 complex ARPC3 (21 kDa) subunit
Sco08g06350.1	F-box only protein 36
Sco07g05960.1	phosphatase 6 catalytic subunit
Sco12g15580.1	stromal membrane-associated protein
Sco17g03020.1	Visual pigment-like receptor peropsin
Sco14g00680.1	sterile alpha motif domain containing
Sco03g02710.1	Tyrosine aminotransferase
Sco13g14250.1	Heat shock 70 kDa protein 12A-like
Sco02g00340.1	Transmembrane Fragile-X-F protein
Sco08g07540.1	protein serine threonine kinase activity. It is involved in the biological process described with protein phosphorylation
Sco14g08640.1	occurring C-terminal to leucine-rich repeats
Sco15g03940.1	hAT family C-terminal dimerisation region
Sco12g03280.1	phosphatidylinositol binding
Sco08g00450.1	Belongs to the peptidase C19 family
Sco02g00080.1	cation transmembrane transporter activity
Sco01g10950.1	negative regulation of appetite by leptin-mediated signaling pathway
Sco08g01190.1	metallocarboxypeptidase activity
Sco01g00640.1	ubiquitin binding
Sco09g04540.1	FK506 binding protein 14
Sco04g03380.1	Sterol-sensing domain of SREBP cleavage-activation
Sco19g10530.1	N-terminal region of glycosyl transferase group 7
Sco15g09650.1	Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain
